AD7;AD6;AD5;AD4;AD3;AD2;AD1;AD0;DIO7;DIO6;DIO5;DIO4;DIO3;DIO2;DIO1;DIO0;JP18;JP19;JP3;JP4;JP5;JP6;JP7;JP8;JP9;JP10;M1CUR;M2CUR;BoardTemperature;KeyStatus;HeaterTemperature;EngineTemperature;EnginePressure;MaxTopPressure;MinTopPressure;ValvePosition;RadiatorFan;BurnerFan;FeederStatus;IgnitorStatus;InverterStatus;CompressorStatus;SDCardStatus;Error;ErrorCode;ErrorString;InverterOnCounter;InverterOffCounter;LogReturn;LastLogReturn;Stage;InitialDoseTime;InitialStartBurnerFanDelay;CombustionSuccessTemp;CombustionBuildUpTime;InputPelletPowerKWSt3;BurnerSpeedStage2;BurnerSpeedStage3;FeedOnTimeStage3;BurnerSpeedStage4;FeedOnTimeStage4;BurnerFanSwitchOffTemperature;InputPelletPowerKW;InverterOnTemperature;InverterOffTemperature;InverterDelayCounter;ProcessMinHeaterTemp;ProcessMaxHeaterTemp;ErrProcTempLowThresh;
6;6;6;6;5;6;6;6;0;0;0;1;1;0;1;0;0;0;1;0;1;0;1;0;0;0;1.6;1.6;30;True;52;30;10;249;249;0;0;0;False;True;False;True;False;0;0;;0;0;0;0;0;25;190;400;250;5; 4.5;6.6;26;10.4;88;55;10;1000;1000;300;800;1200;300;
7;7;6;6;6;6;6;6;0;0;0;1;1;0;1;0;0;0;1;0;1;0;1;0;0;0;1.5;1.6;29;True;53;30;10;249;249;0;0;0;False;True;False;True;False;0;0;;0;0;0;0;0;25;190;400;250;5; 4.5;6.6;26;10.4;88;55;10;1000;1000;300;800;1200;300;
6;7;6;6;6;6;5;7;0;0;0;1;1;0;1;0;0;0;1;0;1;0;1;0;0;0;1.5;1.6;28;True;54;30;10;249;249;0;0;0;False;True;False;True;False;0;0;;0;0;0;0;0;25;190;400;250;5; 4.5;6.6;26;10.4;88;55;10;1000;1000;300;800;1200;300;
6;6;6;6;6;6;6;6;0;0;0;1;1;0;1;0;0;0;1;0;1;0;1;0;0;0;1.6;1.6;30;True;56;30;10;249;249;0;0;0;False;True;False;True;False;0;0;;0;0;0;0;0;25;190;400;250;5; 4.5;6.6;26;10.4;88;55;10;1000;1000;300;800;1200;300;
6;6;6;6;5;6;6;6;0;0;0;1;1;0;1;0;0;0;1;0;1;0;1;0;0;0;1.6;1.6;30;True;57;30;10;249;249;0;0;0;False;True;False;True;False;0;0;;0;0;0;0;0;25;190;400;250;5; 4.5;6.6;26;10.4;88;55;10;1000;1000;300;800;1200;300;
7;6;7;6;7;6;6;6;0;0;0;1;1;0;1;0;0;0;1;0;1;0;1;0;0;0;1.5;1.6;29;True;58;30;10;249;249;0;0;0;False;True;False;True;False;0;0;;0;0;0;0;0;25;190;400;250;5; 4.5;6.6;26;10.4;88;55;10;1000;1000;300;800;1200;300;
7;6;6;7;6;6;6;6;0;0;0;1;1;0;1;0;0;0;1;0;1;0;1;0;0;0;1.5;1.6;29;True;59;30;10;249;249;0;0;0;False;True;False;True;False;0;0;;0;0;0;0;0;25;190;400;250;5; 4.5;6.6;26;10.4;88;55;10;1000;1000;300;800;1200;300;
6;6;7;6;6;6;6;6;0;0;0;1;1;0;1;0;0;0;1;0;1;0;1;0;0;0;1.6;1.6;35;True;60;30;10;249;249;0;0;0;False;True;False;True;False;0;0;;0;0;0;0;0;25;190;400;250;5; 4.5;6.6;26;10.4;88;55;10;1000;1000;300;800;1200;300;
6;5;7;6;6;6;6;5;0;0;0;1;0;1;1;0;0;0;1;1;1;1;0;1;0;1;1.6;1.6;36;True;62;30;10;249;249;0;0;0;False;True;False;True;False;0;0;;0;0;0;0;0;25;190;400;250;5; 4.5;6.6;26;10.4;88;55;10;1000;1000;300;800;1200;300;
6;6;6;7;6;6;6;6;0;0;0;1;1;1;1;0;0;0;1;1;1;1;0;1;0;1;1.6;1.6;29;True;63;30;10;249;249;0;0;0;False;True;False;True;False;0;0;;0;0;0;0;0;25;190;400;250;5; 4.5;6.6;26;10.4;88;55;10;1000;1000;300;800;1200;300;
7;6;6;6;7;6;6;6;0;0;0;1;0;1;1;0;0;0;1;1;1;1;1;0;0;1;1.6;1.6;30;True;64;30;10;249;249;0;0;0;False;True;False;True;False;0;0;;0;0;0;0;0;25;190;400;250;5; 4.5;6.6;26;10.4;88;55;10;1000;1000;300;800;1200;300;
6;6;6;6;6;5;6;6;0;0;0;1;0;1;1;0;0;0;1;1;1;1;1;0;0;1;1.6;1.6;30;True;65;30;10;249;249;0;0;0;False;True;False;True;False;0;0;;0;0;0;0;0;25;190;400;250;5; 4.5;6.6;26;10.4;88;55;10;1000;1000;300;800;1200;300;
6;6;5;6;6;6;5;6;0;0;0;1;0;1;1;0;0;0;1;1;1;1;0;1;0;1;1.6;1.6;30;True;67;30;10;249;249;0;0;0;False;True;False;True;False;0;0;;0;0;0;0;0;25;190;400;250;5; 4.5;6.6;26;10.4;88;55;10;1000;1000;300;800;1200;300;
6;7;6;7;6;6;6;6;0;0;0;1;1;1;1;0;0;0;1;1;1;1;1;0;0;1;1.6;1.6;28;True;68;30;10;249;249;0;0;0;False;True;False;True;False;0;0;;0;0;0;0;0;25;190;400;250;5; 4.5;6.6;26;10.4;88;55;10;1000;1000;300;800;1200;300;
6;6;6;6;6;6;6;6;0;0;0;1;1;1;1;0;0;0;1;0;0;0;1;0;0;0;1.6;1.6;29;False;0;30;10;249;249;0;0;0;False;False;False;True;False;0;0;;0;0;0;0;0;25;190;400;250;5; 4.5;6.6;26;10.4;88;55;10;1000;1000;300;800;1200;300;
6;6;6;6;6;6;6;6;0;0;0;1;1;1;1;0;0;0;1;0;0;0;1;0;0;0;1.6;1.6;30;False;0;30;10;249;249;0;0;0;False;False;False;True;False;0;0;;0;0;0;0;0;25;190;400;250;5; 4.5;6.6;26;10.4;88;55;10;1000;1000;300;800;1200;300;
6;7;6;7;6;6;6;6;0;0;0;1;1;1;1;0;0;0;1;0;0;0;1;0;0;0;1.6;1.6;30;False;0;30;10;249;249;0;0;0;False;False;False;True;False;0;0;;0;0;0;0;0;25;190;400;250;5; 4.5;6.6;26;10.4;88;55;10;1000;1000;300;800;1200;300;
7;6;7;7;6;6;6;6;0;0;0;1;1;1;1;0;0;0;1;0;0;0;1;0;0;0;1.5;1.6;32;False;0;30;10;249;249;0;0;0;False;False;False;True;False;0;0;;0;0;0;0;0;25;190;400;250;5; 4.5;6.6;26;10.4;88;55;10;1000;1000;300;800;1200;300;
