AD7;AD6;AD5;AD4;AD3;AD2;AD1;AD0;DIO7;DIO6;DIO5;DIO4;DIO3;DIO2;DIO1;DIO0;JP18;JP19;JP3;JP4;JP5;JP6;JP7;JP8;JP9;JP10;M1CUR;M2CUR;BoardTemperature;KeyStatus;HeaterTemperature;EngineTemperature;EnginePressure;MaxTopPressure;MinTopPressure;ValvePosition;RadiatorFan;BurnerFan;FeederStatus;IgnitorStatus;InverterStatus;CompressorStatus;SDCardStatus;Error;ErrorCode;ErrorString;InverterOnCounter;InverterOffCounter;LogReturn;LastLogReturn;Stage;InitialDoseTime;InitialStartBurnerFanDelay;CombustionSuccessTemp;CombustionBuildUpTime;InputPelletPowerKWSt3;BurnerSpeedStage2;BurnerSpeedStage3;FeedOnTimeStage3;BurnerSpeedStage4;FeedOnTimeStage4;BurnerFanSwitchOffTemperature;InputPelletPowerKW;InverterOnTemperature;InverterOffTemperature;InverterDelayCounter;ProcessMinHeaterTemp;ProcessMaxHeaterTemp;ErrProcTempLowThresh;
90;1007;695;5;5;5;5;4;0;0;0;1;1;1;0;0;0;0;1;0;0;0;1;0;0;0;1.6;1.6;30;False;27;21;4;5;5;0;0;0;False;False;False;True;False;1;8;ALARM : A8;0;0;0;0;0;15;180;50;120;2.9; 4.2;6;5;11;10;50;3.4;600;500;100;300;1100;200;
93;1001;719;5;5;5;4;4;0;0;0;1;1;1;0;0;0;0;1;0;0;0;1;0;0;0;1.6;1.6;24;False;27;21;4;5;5;0;0;0;False;False;False;True;False;1;8;ALARM : A8;0;0;0;0;0;15;180;50;120;2.9; 4.2;6;5;11;10;50;3.4;600;500;100;300;1100;200;
92;1003;710;5;5;5;5;5;0;0;0;1;1;1;0;0;0;0;1;0;0;0;1;0;0;0;1.6;1.6;24;False;27;21;5;5;5;0;0;0;False;False;False;True;False;1;8;ALARM : A8;0;0;0;0;0;15;180;50;120;2.9; 4.2;6;5;11;10;50;3.4;600;500;100;300;1100;200;
94;1004;731;5;5;5;5;4;0;0;0;1;1;1;0;0;0;0;1;0;0;0;1;0;0;0;1.6;1.6;24;False;27;21;5;5;5;0;0;0;False;False;False;True;False;1;8;ALARM : A8;0;0;0;0;0;15;180;50;120;2.9; 4.2;6;5;11;10;50;3.4;600;500;100;300;1100;200;
93;1004;710;5;5;4;5;4;0;0;0;1;1;1;0;0;0;0;1;0;0;0;1;0;0;0;1.6;1.6;24;False;27;21;5;5;5;0;0;0;False;False;False;True;False;1;8;ALARM : A8;0;0;0;0;0;15;180;50;120;2.9; 4.2;6;5;11;10;50;3.4;600;500;100;300;1100;200;
92;1002;736;5;5;5;5;5;0;0;0;1;1;1;0;0;0;0;1;0;0;0;1;0;0;0;1.6;1.5;25;False;27;21;4;5;5;0;0;0;False;False;False;True;False;1;8;ALARM : A8;0;0;0;0;0;15;180;50;120;2.9; 4.2;6;5;11;10;50;3.4;600;500;100;300;1100;200;
90;1001;732;4;4;5;4;5;0;0;0;1;1;1;0;0;0;0;1;0;0;0;1;0;0;0;1.6;1.3;24;False;27;21;4;5;5;0;0;0;False;False;False;True;False;1;8;ALARM : A8;0;0;0;0;0;15;180;50;120;2.9; 4.2;6;5;11;10;50;3.4;600;500;100;300;1100;200;
93;1004;729;6;5;5;4;5;0;0;0;1;1;1;0;0;0;0;1;0;0;0;1;0;0;0;1.6;0.8;24;False;27;21;4;5;5;0;0;0;False;False;False;True;False;1;8;ALARM : A8;0;0;0;0;0;15;180;50;120;2.9; 4.2;6;5;11;10;50;3.4;600;500;100;300;1100;200;
87;1009;788;5;4;5;5;5;0;0;0;1;1;1;0;0;0;0;1;0;0;0;1;0;0;0;1.6;0.8;24;False;26;21;4;5;5;0;0;0;False;False;False;True;False;1;8;ALARM : A8;0;0;0;0;0;15;180;50;120;2.9; 4.2;6;5;11;10;50;3.4;600;500;100;300;1100;200;
93;1005;734;5;5;5;4;5;0;0;0;1;1;1;0;0;0;0;1;0;0;0;1;0;0;0;1.6;0.5;25;False;26;21;4;5;5;0;0;0;False;False;False;True;False;1;8;ALARM : A8;0;0;0;0;0;15;180;50;120;2.9; 4.2;6;5;11;10;50;3.4;600;500;100;300;1100;200;
95;1004;729;5;4;5;4;4;0;0;0;1;1;1;0;0;0;0;1;0;0;0;1;0;0;0;1.6;0.4;26;False;27;21;5;5;5;0;0;0;False;False;False;True;False;1;8;ALARM : A8;0;0;0;0;0;15;180;50;120;2.9; 4.2;6;5;11;10;50;3.4;600;500;100;300;1100;200;
93;1007;760;5;5;5;4;5;0;0;0;1;1;1;0;0;0;0;1;0;0;0;1;0;0;0;1.6;0.3;25;False;27;21;5;5;5;0;0;0;False;False;False;True;False;1;8;ALARM : A8;0;0;0;0;0;15;180;50;120;2.9; 4.2;6;5;11;10;50;3.4;600;500;100;300;1100;200;
94;1005;696;4;5;5;4;4;0;0;0;1;1;1;0;0;0;0;1;0;0;0;1;0;0;0;1.6;1.6;25;False;27;21;5;5;5;0;0;0;False;False;False;True;False;1;8;ALARM : A8;0;0;0;0;0;15;180;50;120;2.9; 4.2;6;5;11;10;50;3.4;600;500;100;300;1100;200;
93;1003;732;5;5;5;4;4;0;0;0;1;1;1;0;0;0;0;1;0;0;0;1;0;0;0;1.6;1.6;25;False;27;21;5;5;5;0;0;0;False;False;False;True;False;1;8;ALARM : A8;0;0;0;0;0;15;180;50;120;2.9; 4.2;6;5;11;10;50;3.4;600;500;100;300;1100;200;
93;1004;735;4;5;4;4;4;0;0;0;1;1;1;0;0;0;0;1;0;0;0;1;0;0;0;1.6;1.6;24;False;27;21;5;5;5;0;0;0;False;False;False;True;False;1;8;ALARM : A8;0;0;0;0;0;15;180;50;120;2.9; 4.2;6;5;11;10;50;3.4;600;500;100;300;1100;200;
93;1005;754;5;5;5;4;5;0;0;0;1;1;1;0;0;0;0;1;0;0;0;1;0;0;0;1.6;1.6;22;False;27;21;5;5;5;0;0;0;False;False;False;True;False;1;8;ALARM : A8;0;0;0;0;0;15;180;50;120;2.9; 4.2;6;5;11;10;50;3.4;600;500;100;300;1100;200;
92;1004;710;4;5;5;4;5;0;0;0;1;1;1;0;0;0;0;1;0;0;0;1;0;0;0;1.6;1.6;25;False;27;21;5;5;5;0;0;0;False;False;False;True;False;1;8;ALARM : A8;0;0;0;0;0;15;180;50;120;2.9; 4.2;6;5;11;10;50;3.4;600;500;100;300;1100;200;
