AD7;AD6;AD5;AD4;AD3;AD2;AD1;AD0;DIO7;DIO6;DIO5;DIO4;DIO3;DIO2;DIO1;DIO0;JP18;JP19;JP3;JP4;JP5;JP6;JP7;JP8;JP9;JP10;M1CUR;M2CUR;BoardTemperature;KeyStatus;HeaterTemperature;EngineTemperature;EnginePressure;MaxTopPressure;MinTopPressure;ValvePosition;RadiatorFan;BurnerFan;FeederStatus;IgnitorStatus;InverterStatus;CompressorStatus;SDCardStatus;Error;ErrorCode;ErrorString;InverterOnCounter;InverterOffCounter;LogReturn;LastLogReturn;Stage;InitialDoseTime;InitialStartBurnerFanDelay;CombustionSuccessTemp;CombustionBuildUpTime;InputPelletPowerKWSt3;BurnerSpeedStage2;BurnerSpeedStage3;FeedOnTimeStage3;BurnerSpeedStage4;FeedOnTimeStage4;BurnerFanSwitchOffTemperature;InputPelletPowerKW;InverterOnTemperature;InverterOffTemperature;InverterDelayCounter;ProcessMinHeaterTemp;ProcessMaxHeaterTemp;ErrProcTempLowThresh;
12;13;10;9;8;8;8;9;0;0;0;1;1;1;1;1;0;0;1;0;0;0;1;0;1;0;1,6;1,5;31;False;0;30;10;249;249;0;0;0;False;False;False;True;True;0;0;;0;0;0;0;0;15;180;50;120;2,9; 4,2;6;5;8,8;10;50;3,4;600;500;100;300;1100;200;
11;11;11;10;10;10;10;10;0;0;0;1;1;1;1;1;0;0;1;0;0;0;1;0;1;0;1,6;1,6;25;False;0;30;10;249;249;0;0;0;False;False;False;True;True;0;0;;0;0;0;0;0;15;180;50;120;2,9; 4,2;6;5;8,8;10;50;3,4;600;500;100;300;1100;200;
11;11;10;10;10;10;10;10;0;0;0;1;1;1;1;1;0;0;1;0;0;0;1;0;1;0;1,6;1,5;32;False;0;30;10;249;249;0;0;0;False;False;False;True;True;0;0;;0;0;0;0;0;15;180;50;120;2,9; 4,2;6;5;8,8;10;50;3,4;600;500;100;300;1100;200;
11;11;10;10;10;10;10;10;0;0;0;1;1;1;1;1;0;0;1;0;0;0;1;0;1;0;1,6;1,5;32;False;0;30;10;249;249;0;0;0;False;False;False;True;True;0;0;;0;0;0;0;0;15;180;50;120;2,9; 4,2;6;5;8,8;10;50;3,4;600;500;100;300;1100;200;
11;11;11;10;10;10;10;10;0;0;0;1;1;1;1;1;0;0;1;0;0;0;1;0;1;0;1,6;1,6;24;False;0;30;10;249;249;0;0;0;False;False;False;True;True;0;0;;0;0;0;0;0;15;180;50;120;2,9; 4,2;6;5;8,8;10;50;3,4;600;500;100;300;1100;200;
10;10;11;10;10;10;10;10;0;0;0;1;1;1;1;1;0;0;1;0;0;0;1;0;1;0;1,5;1,5;23;False;0;30;10;249;249;0;0;0;False;False;False;True;True;0;0;;0;0;0;0;0;15;180;50;120;2,9; 4,2;6;5;8,8;10;50;3,4;600;500;100;300;1100;200;
10;10;11;10;10;10;10;10;0;0;0;1;1;1;1;1;0;0;1;0;0;0;1;0;1;0;1,5;1,5;23;False;0;30;10;249;249;0;0;0;False;False;False;True;True;0;0;;0;0;0;0;0;15;180;50;120;2,9; 4,2;6;5;8,8;10;50;3,4;600;500;100;300;1100;200;
11;11;10;10;10;10;11;10;0;0;0;1;1;1;1;1;0;0;1;0;0;0;1;0;1;0;1,6;1,5;24;False;0;30;10;249;249;0;0;0;False;False;False;True;True;0;0;;0;0;0;0;0;15;180;50;120;2,9; 4,2;6;5;8,8;10;50;3,4;600;500;100;300;1100;200;
10;11;11;10;10;10;10;10;0;0;0;1;1;1;1;1;0;0;1;0;0;0;1;0;1;0;1,5;1,5;27;False;0;30;10;249;249;0;0;0;False;False;False;True;True;0;0;;0;0;0;0;0;15;180;50;120;2,9; 4,2;6;5;8,8;10;50;3,4;600;500;100;300;1100;200;
10;11;11;10;10;10;10;10;0;0;0;1;1;1;1;1;0;0;1;0;0;0;1;0;1;0;1,5;1,5;27;False;0;30;10;249;249;0;0;0;False;False;False;True;True;0;0;;0;0;0;0;0;15;180;50;120;2,9; 4,2;6;5;8,8;10;50;3,4;600;500;100;300;1100;200;
11;11;10;10;11;10;10;10;0;0;0;1;1;1;1;1;0;0;1;0;0;0;1;0;1;0;1,5;1,6;27;False;0;30;10;249;249;0;0;0;False;False;False;True;True;0;0;;0;0;0;0;0;15;180;50;120;2,9; 4,2;6;5;8,8;10;50;3,4;600;500;100;300;1100;200;
11;11;10;10;11;10;10;10;0;0;0;1;1;1;1;1;0;0;1;0;0;0;1;0;1;0;1,5;1,6;27;False;0;30;10;249;249;0;0;0;False;False;False;True;True;0;0;;0;0;0;0;0;15;180;50;120;2,9; 4,2;6;5;8,8;10;50;3,4;600;500;100;300;1100;200;
11;11;11;10;10;10;10;10;0;0;0;1;1;1;1;1;0;0;1;0;0;0;1;0;1;0;1,5;1,5;21;False;0;30;10;249;249;0;0;0;False;False;False;True;True;0;0;;0;0;0;0;0;15;180;50;120;2,9; 4,2;6;5;8,8;10;50;3,4;600;500;100;300;1100;200;
11;11;11;10;10;10;10;10;0;0;0;1;1;1;1;1;0;0;1;0;0;0;1;0;1;0;1,5;1,5;21;False;0;30;10;249;249;0;0;0;False;False;False;True;True;0;0;;0;0;0;0;0;15;180;50;120;2,9; 4,2;6;5;8,8;10;50;3,4;600;500;100;300;1100;200;
10;11;11;10;10;10;10;10;0;0;0;1;1;1;1;1;0;0;1;0;0;0;1;0;1;0;1,6;1,5;27;False;0;30;10;249;249;0;0;0;False;False;False;True;True;0;0;;0;0;0;0;0;15;180;50;120;2,9; 4,2;6;5;8,8;10;50;3,4;600;500;100;300;1100;200;
11;11;11;11;10;10;10;10;0;0;0;1;1;1;1;1;0;0;1;0;0;0;1;0;1;0;1,6;1,5;29;False;0;30;10;249;249;0;0;0;False;False;False;True;True;0;0;;0;0;0;0;0;15;180;50;120;2,9; 4,2;6;5;8,8;10;50;3,4;600;500;100;300;1100;200;
11;11;11;11;10;10;10;10;0;0;0;1;1;1;1;1;0;0;1;0;0;0;1;0;1;0;1,6;1,5;29;False;0;30;10;249;249;0;0;0;False;False;False;True;True;0;0;;0;0;0;0;0;15;180;50;120;2,9; 4,2;6;5;8,8;10;50;3,4;600;500;100;300;1100;200;
10;11;11;10;10;10;10;10;0;0;0;1;1;1;1;1;0;0;1;0;0;0;1;0;1;0;1,6;1,5;24;False;0;30;10;249;249;0;0;0;False;False;False;True;True;0;0;;0;0;0;0;0;15;180;50;120;2,9; 4,2;6;5;8,8;10;50;3,4;600;500;100;300;1100;200;
10;11;11;11;10;10;10;10;0;0;0;1;1;1;1;1;0;0;1;0;0;0;1;0;1;0;1,6;1,5;23;False;0;30;10;249;249;0;0;0;False;False;False;True;True;0;0;;0;0;0;0;0;15;180;50;120;2,9; 4,2;6;5;8,8;10;50;3,4;600;500;100;300;1100;200;
10;11;11;11;10;10;10;10;0;0;0;1;1;1;1;1;0;0;1;0;0;0;1;0;1;0;1,6;1,5;23;False;0;30;10;249;249;0;0;0;False;False;False;True;True;0;0;;0;0;0;0;0;15;180;50;120;2,9; 4,2;6;5;8,8;10;50;3,4;600;500;100;300;1100;200;
10;11;11;10;9;10;11;10;0;0;0;1;1;1;1;1;0;0;1;0;0;0;1;0;1;0;1,5;1,6;21;False;0;30;10;249;249;0;0;0;False;False;False;True;True;0;0;;0;0;0;0;0;15;180;50;120;2,9; 4,2;6;5;8,8;10;50;3,4;600;500;100;300;1100;200;
11;11;11;10;10;10;10;10;0;0;0;1;1;1;1;1;0;0;1;0;0;0;1;0;1;0;1,6;1,5;22;False;0;30;10;249;249;0;0;0;False;False;False;True;True;0;0;;0;0;0;0;0;15;180;50;120;2,9; 4,2;6;5;8,8;10;50;3,4;600;500;100;300;1100;200;
11;11;11;10;10;10;10;10;0;0;0;1;1;1;1;1;0;0;1;0;0;0;1;0;1;0;1,6;1,5;22;False;0;30;10;249;249;0;0;0;False;False;False;True;True;0;0;;0;0;0;0;0;15;180;50;120;2,9; 4,2;6;5;8,8;10;50;3,4;600;500;100;300;1100;200;
11;11;10;10;10;10;10;10;0;0;0;1;1;1;1;1;0;0;1;0;0;0;1;0;1;0;1,6;1,6;26;False;0;30;10;249;249;0;0;0;False;False;False;True;True;0;0;;0;0;0;0;0;15;180;50;120;2,9; 4,2;6;5;8,8;10;50;3,4;600;500;100;300;1100;200;
11;11;11;10;10;10;10;10;0;0;0;1;1;1;1;1;0;0;1;0;0;0;1;0;1;0;1,6;1,5;30;False;0;30;10;249;249;0;0;0;False;False;False;True;True;0;0;;0;0;0;0;0;15;180;50;120;2,9; 4,2;6;5;8,8;10;50;3,4;600;500;100;300;1100;200;
11;11;11;10;10;10;10;10;0;0;0;1;1;1;1;1;0;0;1;0;0;0;1;0;1;0;1,6;1,5;30;False;0;30;10;249;249;0;0;0;False;False;False;True;True;0;0;;0;0;0;0;0;15;180;50;120;2,9; 4,2;6;5;8,8;10;50;3,4;600;500;100;300;1100;200;
11;11;11;10;9;9;10;11;0;0;0;1;1;1;1;1;0;0;1;0;0;0;1;0;1;0;1,6;1,5;25;False;0;30;10;249;249;0;0;0;False;False;False;True;True;0;0;;0;0;0;0;0;15;180;50;120;2,9; 4,2;6;5;8,8;10;50;3,4;600;500;100;300;1100;200;
11;11;11;11;10;10;10;10;0;0;0;1;1;1;1;1;0;0;1;0;0;0;1;0;1;0;1,5;1,6;33;False;0;30;10;249;249;0;0;0;False;False;False;True;True;0;0;;0;0;0;0;0;15;180;50;120;2,9; 4,2;6;5;8,8;10;50;3,4;600;500;100;300;1100;200;
11;11;11;11;10;10;10;10;0;0;0;1;1;1;1;1;0;0;1;0;0;0;1;0;1;0;1,5;1,6;33;False;0;30;10;249;249;0;0;0;False;False;False;True;True;0;0;;0;0;0;0;0;15;180;50;120;2,9; 4,2;6;5;8,8;10;50;3,4;600;500;100;300;1100;200;
10;11;10;10;10;10;10;10;0;0;0;1;1;1;1;1;0;0;1;0;0;0;1;0;1;0;1,6;1,5;25;False;0;30;10;249;249;0;0;0;False;False;False;True;True;0;0;;0;0;0;0;0;15;180;50;120;2,9; 4,2;6;5;8,8;10;50;3,4;600;500;100;300;1100;200;
10;11;11;10;10;10;10;10;0;0;0;1;1;1;1;1;0;0;1;0;0;0;1;0;1;0;1,6;1,5;27;False;0;30;10;249;249;0;0;0;False;False;False;True;True;0;0;;0;0;0;0;0;15;180;50;120;2,9; 4,2;6;5;8,8;10;50;3,4;600;500;100;300;1100;200;
10;11;11;10;10;10;10;10;0;0;0;1;1;1;1;1;0;0;1;0;0;0;1;0;1;0;1,6;1,5;27;False;0;30;10;249;249;0;0;0;False;False;False;True;True;0;0;;0;0;0;0;0;15;180;50;120;2,9; 4,2;6;5;8,8;10;50;3,4;600;500;100;300;1100;200;
10;11;11;10;9;10;10;10;0;0;0;1;1;1;1;1;0;0;1;0;0;0;1;0;1;0;1,6;1,5;24;False;0;30;10;249;249;0;0;0;False;False;False;True;True;0;0;;0;0;0;0;0;15;180;50;120;2,9; 4,2;6;5;8,8;10;50;3,4;600;500;100;300;1100;200;
10;11;11;10;10;10;10;10;0;0;0;1;1;1;1;1;0;0;1;0;0;0;1;0;1;0;1,6;1,5;25;False;0;30;10;249;249;0;0;0;False;False;False;True;True;0;0;;0;0;0;0;0;15;180;50;120;2,9; 4,2;6;5;8,8;10;50;3,4;600;500;100;300;1100;200;
10;11;11;10;10;10;10;10;0;0;0;1;1;1;1;1;0;0;1;0;0;0;1;0;1;0;1,6;1,5;25;False;0;30;10;249;249;0;0;0;False;False;False;True;True;0;0;;0;0;0;0;0;15;180;50;120;2,9; 4,2;6;5;8,8;10;50;3,4;600;500;100;300;1100;200;
10;11;11;10;10;10;10;11;0;0;0;1;1;1;1;1;0;0;1;0;0;0;1;0;1;0;1,6;1,6;24;False;0;30;10;249;249;0;0;0;False;False;False;True;True;0;0;;0;0;0;0;0;15;180;50;120;2,9; 4,2;6;5;8,8;10;50;3,4;600;500;100;300;1100;200;
10;11;11;11;10;10;10;10;0;0;0;1;1;1;1;1;0;0;1;0;0;0;1;0;1;0;1,6;1,5;23;False;0;30;10;249;249;0;0;0;False;False;False;True;True;0;0;;0;0;0;0;0;15;180;50;120;2,9; 4,2;6;5;8,8;10;50;3,4;600;500;100;300;1100;200;
